sample,R,p_value
GSM8558022,7.133300256878138,0.0
GSM8558020,4.941482419509753,0.0
GSM8557978,5.528216172271584,0.0
GSM8558001,4.704598223275614,0.0
GSM8557987,3.550874498814214,0.0
GSM8557977,1.2482863665800663,0.4866666666666667
GSM8557980,14.9982247417651,0.0
GSM8557981,7.653199081263184,0.0
GSM8557976,8.455494756374861,0.0
GSM8557979,3.2925742884597207,0.0
GSM8557986,6.0471494939218635,0.0
GSM8558000,4.262400052600732,0.0
GSM8558002,4.838877044606247,0.0
GSM8557984,2.6740212336342184,0.0
GSM8557999,6.718175937970704,0.0
GSM8557983,4.395242386149827,0.0
GSM8558019,1.185819800923525,0.5166666666666667
GSM8558004,4.629501350511513,0.0
GSM8557997,6.681354480980769,0.0
GSM8557982,6.777961119456422,0.0
GSM8557998,13.552663855426712,0.0
GSM8557985,3.594595512684908,0.0
GSM8558003,3.3988461938235375,0.0
