sample,interface_median_abs_curl,tumor_core_median_abs_curl,fold_interface_vs_tumor_core,interface_signed_mean,interface_signed_z,interface_frac_positive,n_interface,n_tumor_core,note
GSM8557976,5.417732115362006e-08,5.390344928514942e-08,1.005080785591695,1.592659072080402e-08,5.985790441333041,0.5239583333333333,1920,253,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557977,9.576379345297795e-08,6.076880621938827e-08,1.5758709017131314,1.895581903796359e-08,3.782562436175757,0.6513761467889908,654,30,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557978,9.232823967401475e-08,8.530461828350673e-08,1.082335769526162,2.810650206929119e-08,5.3502345342043744,0.6290909090909091,825,117,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557979,2.574786731509201e-08,2.3950248702389137e-08,1.075056365177684,3.0074804966299597e-09,2.314290062842945,0.5501912045889101,2092,206,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557980,3.288027091684816e-08,2.6104220566686615e-08,1.2595768118358963,3.091257432896077e-09,2.0089778187606666,0.5465903175429464,1921,45,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557981,3.667828064879419e-08,3.293429108481664e-08,1.113680587638445,-2.8049838485820407e-09,-1.36609952232958,0.45781990521327015,1055,117,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557982,5.555274682252319e-08,4.662825901780021e-08,1.1913965477740887,4.408821575661276e-09,1.6470459259759322,0.44806094182825484,1444,201,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557983,3.717514165549726e-08,2.359058548275413e-08,1.5758465037959362,-1.9349126311931815e-08,-6.943014428120502,0.43952095808383235,835,153,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557984,3.635302227401767e-08,5.3376835946565095e-08,0.6810636417342204,-6.150880205687467e-10,-0.20982951813020578,0.4774774774774775,444,59,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557985,4.1156653113327835e-08,4.078390081670621e-08,1.00913969211275,-2.2626813788974185e-09,-1.1354361978819918,0.4965612104539202,2181,129,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557986,5.039197258372337e-08,3.1955496248547065e-08,1.576942263445981,2.849014733920356e-09,0.8051941472642219,0.5289855072463768,966,49,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557987,6.865751707834284e-08,6.77375910964247e-08,1.0135807306848073,-1.4267600371318011e-08,-2.5353290828170443,0.2981366459627329,322,23,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557997,5.876209325609653e-08,5.844486315742525e-08,1.0054278525354194,2.7878488635562523e-08,6.20808627502997,0.5097856477166822,1073,360,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557998,3.0268548476102456e-08,2.156878543188116e-08,1.4033496958693854,-2.209461353498326e-08,-6.814149448660382,0.5269028871391076,1524,38,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8557999,4.55223489038518e-08,3.3450536549885224e-08,1.3608854625086124,1.6955747766362577e-08,4.34129178739217,0.4515235457063712,1444,343,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558000,7.785011611344723e-08,9.246586878582559e-08,0.8419335386743388,-8.675106898301667e-09,-3.2274905565394736,0.41398390342052316,1988,127,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558001,3.6370141555848904e-08,4.409515208525505e-08,0.8248104346148902,-1.8544074710243492e-09,-0.7094995301557866,0.5036337209302325,1376,95,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558002,4.077440491611258e-08,3.655582949212689e-08,1.115400894538428,1.9301170314243353e-09,0.9371684671042153,0.4978978978978979,1665,94,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558003,4.0008825271294527e-08,5.0047772065520135e-08,0.7994127134953559,6.476426549989878e-09,4.147428427018572,0.5414954806902219,2434,167,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558004,6.93036481350309e-08,5.136606115336654e-08,1.3492108715150866,3.611675716821437e-08,9.342988250683637,0.7056504599211564,1522,72,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558019,3.2918306429914016e-08,3.153342032464968e-08,1.0439180428575892,1.1138367271602995e-08,2.7435185313632107,0.5241635687732342,269,18,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558020,1.5823443194514778e-08,1.612962548363147e-08,0.981017396254649,-2.0460902991089615e-09,-1.3498288182436924,0.5294906166219839,746,36,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
GSM8558022,6.138163882266993e-08,3.511603453061023e-08,1.747966125536307,-8.643816719331601e-10,-0.2006294567812981,0.48816029143898,549,123,Graph-based curl proxy from signed coexact edge-flux imbalance; not exact DEC face circulation.
