i,j,flux_coexact
0,30,2.634478793151963e-05
0,31,-3.563176657258548e-05
0,104,-2.5599698594409023e-05
0,192,-4.365057387275118e-06
0,621,7.192775551703297e-06
0,981,3.20589590710467e-05
1,435,-5.111160318616708e-07
1,659,-1.2793520017797716e-05
1,702,5.112124246789343e-06
1,713,2.055322682722342e-05
1,782,-1.2951900184878489e-05
1,914,5.911851605251112e-07
2,86,-3.620650184867447e-05
2,223,1.569558425802116e-05
2,696,-2.654394068342031e-05
2,816,5.543803856697662e-06
2,827,-2.282890636885568e-05
2,1046,6.433996078623164e-05
3,40,-1.5563322450904112e-06
3,400,-3.04044138047593e-05
3,501,-4.515590716015697e-05
3,903,4.2259727789304615e-05
3,941,8.44213282516124e-05
3,962,-4.9564402830910334e-05
4,97,0.0001500058409884
4,294,5.938854247978555e-05
4,400,8.408636097057687e-05
4,421,4.980540372910047e-05
4,598,-0.0003029449853745
4,654,-4.0341162793394046e-05
5,103,-1.919023146833427e-05
5,247,-7.744525267701079e-07
5,485,5.326155819937719e-06
5,750,1.4795085461858256e-05
5,914,9.073538063298892e-06
5,996,-9.230095349990488e-06
6,43,-9.67109398560342e-06
6,135,6.4664883445782515e-06
6,630,2.3192361801020347e-05
6,754,-7.919668999762051e-06
6,795,-2.6796135724733128e-05
6,891,1.4728048564500002e-05
7,38,3.143983476945222e-05
7,205,-6.5830199956298835e-06
7,398,-1.963479715077911e-06
7,573,-1.936923683705303e-05
7,775,2.0345831770978004e-06
7,977,-5.558681398789196e-06
8,23,-0.0001175481811819
8,136,5.246736530407314e-05
8,316,0.0001403480664068
8,321,8.462660366871103e-05
8,466,-9.10177407992756e-05
8,624,-6.887611339840815e-05
9,27,0.0001534173548402
9,139,8.765103969698567e-05
9,355,6.591743547553595e-05
9,682,-0.0002839640349169
9,862,-2.3021795095803157e-05
10,46,-2.5827120603093503e-05
10,92,-9.888896048865814e-06
10,328,2.970458743881054e-05
10,384,1.44390848943079e-05
10,470,-2.681523696546735e-05
10,855,1.838758128430823e-05
11,97,-0.0001895458773193
11,272,0.0001253158460923
11,598,0.000287865624475
11,639,-3.918371830392035e-05
11,899,-8.550790403720517e-05
11,1026,-9.894397090699717e-05
12,101,-6.295780716539262e-05
12,293,2.8116949443717453e-05
12,392,7.450392739705158e-05
12,481,-5.715234438805947e-05
