fov,n_cells_raw,n_cells_clean,n_cell_dups_dropped,n_coord_dups_dropped,n_edges,n_faces,hodge_type,coexact_fraction_global,exact_fraction_global,harm_fraction_global,interface_vs_tumor_core_ratio,perm_p,n_interface,n_tumor_core
33,182,182,0,0,530,348,upper,0.6644803511089713,0.32744148773189524,0.008078161151421723,,,118,0
34,323,323,0,0,947,624,upper,0.6639612175045563,0.3359713091647161,6.747333108984683e-05,48.080520680888405,0.0969030969030969,17,5
35,308,308,0,0,899,591,upper,0.43635286822235936,0.5628658753495548,0.0007812564280405147,26.709140606684947,0.000999000999000999,73,7
36,341,341,0,0,998,657,upper,0.547944292033575,0.45019105351698147,0.0018646544519494953,7.942876541642538,0.016983016983016984,56,9
37,1741,1741,0,0,5198,3457,upper,0.24710817602184365,0.7528278176599198,6.400631458955113e-05,3.0220112796379506,0.000999000999000999,288,180
38,2287,2287,0,0,6838,4551,upper,0.33669590169974983,0.6631265952335113,0.0001775030581260947,2.9414495657129307,0.000999000999000999,575,69
39,2040,2040,0,0,6095,4055,upper,0.3414669725118225,0.6581158393667231,0.00041718812058307605,3.808414029688084,0.000999000999000999,587,32
40,1560,1560,0,0,4660,3100,upper,0.3418361535900184,0.6581414900226845,2.2356386048884115e-05,9.80470324831491,0.000999000999000999,424,29
41,1350,1350,0,0,4021,2671,upper,0.28745507805153886,0.7125326280724427,1.2293874073307249e-05,0.6161306647987014,0.991008991008991,210,135
42,1643,1643,0,0,4901,3258,upper,0.2813830551279039,0.7185972285159411,1.9716357691903378e-05,0.8575365869009034,0.7042957042957043,314,116
43,1130,1130,0,0,3365,2235,upper,0.3623991712647914,0.6373230788364747,0.00027774989880140395,2.31122782281281,0.003996003996003996,271,24
44,447,447,0,0,1321,874,upper,0.6533897378713359,0.34656131620940156,4.894591936495351e-05,,,58,3
45,350,350,0,0,1025,675,upper,0.5821178444661792,0.41785253414117696,2.9621378214037827e-05,47.6141873495709,0.001998001998001998,84,8
46,954,954,0,0,2837,1883,upper,0.36947555357379797,0.6304477814005145,7.666500263166335e-05,2.7252096720474372,0.058941058941058944,270,7
47,536,536,0,0,1583,1047,upper,0.22067352751684988,0.7793074948201243,1.897766322917857e-05,2.143256315599044,0.1918081918081918,130,5
48,1763,1763,0,0,5267,3504,upper,0.2573340587624911,0.7426326641075562,3.3277117159559615e-05,1.1720766208092446,0.3116883116883117,436,30
49,2204,2204,0,0,6585,4381,upper,0.2956652971956718,0.704290748467218,4.395433636159311e-05,4.9015060085350335,0.000999000999000999,604,76
50,1334,1334,0,0,3975,2641,upper,0.2962713222831697,0.7036973854217468,3.129230082846301e-05,0.8692152182152016,0.6223776223776224,365,23
51,723,723,0,0,2149,1426,upper,0.4250244151964927,0.5748865231587827,8.90616452141691e-05,0.28467120724908307,0.9530469530469531,227,9
52,543,543,0,0,1607,1064,upper,0.5275664157143797,0.47126795380874514,0.0011656304181879341,,,156,2
53,1673,1673,0,0,4996,3323,upper,0.2519978295917969,0.7479761980667065,2.5972339990541578e-05,3.7864353576123833,0.000999000999000999,347,51
54,1250,1250,0,0,3723,2473,upper,0.3568454955277656,0.642906375573803,0.00024812889919933323,2.5134239103479787,0.011988011988011988,368,18
55,187,187,0,0,546,359,upper,0.7032057044315614,0.2962328812303755,0.0005614143578928746,58.25379234704512,0.000999000999000999,84,74
56,497,497,0,0,1467,970,upper,0.6088651645134678,0.38778767329307906,0.0033471622020559396,1.6416913862607956,0.2007992007992008,163,14
57,989,989,0,0,2935,1946,upper,0.32436205478434904,0.6756245694495546,1.3375771850900363e-05,3.119526203204794,0.001998001998001998,215,42
58,2052,2052,0,0,6131,4079,upper,0.23115857865658088,0.7687146286837467,0.00012679265859465592,3.0908679992449413,0.000999000999000999,296,155
59,1216,1216,0,0,3627,2411,upper,0.41834715741403067,0.5816009535879405,5.188900378145483e-05,0.6513065648339202,0.8231768231768232,366,9
60,1773,1773,0,0,5296,3523,upper,0.31891521739599155,0.6807156740484359,0.00036910855677513104,3.1358565648817005,0.000999000999000999,480,38
61,2132,2132,0,0,6366,4234,upper,0.3911025379181983,0.6083578132630434,0.000539648819115182,2.0898356595659573,0.002997002997002997,602,45
62,2056,2056,0,0,6139,4083,upper,0.31808527696253336,0.6818645899147772,5.013312253302235e-05,2.9853955950038364,0.000999000999000999,597,20
63,1110,1110,0,0,3302,2192,upper,0.3433601369409136,0.656583744003045,5.611905646736056e-05,,,346,3
64,1151,1151,0,0,3425,2274,upper,0.36562664284234797,0.634301044825796,7.231232709993513e-05,1.7299448194964089,0.04295704295704296,309,64
65,787,787,0,0,2332,1545,upper,0.5707767037939376,0.4291868660344115,3.643017174347743e-05,56.4129153998788,0.000999000999000999,278,9
66,1290,1290,0,0,3842,2552,upper,0.3216611665857461,0.678273197901025,6.563550285954642e-05,1.101917255007604,0.24875124875124874,269,97
67,291,291,0,0,850,559,upper,0.6284765431800037,0.37144232206836436,8.113475163256824e-05,2236.991778094802,0.005994005994005994,12,8
68,1207,1207,0,0,3598,2391,upper,0.6777430081343006,0.32202186192966203,0.00023512994044759555,5.059978893490379,0.003996003996003996,374,21
69,2010,2010,0,0,6006,3996,upper,0.2186843335445268,0.7812165542795684,9.911217565045143e-05,2.9252321476434506,0.000999000999000999,271,142
70,1756,1756,0,0,5245,3489,upper,0.274939881681108,0.7249617813154166,9.833699524975835e-05,2.0686418976625083,0.000999000999000999,403,65
71,1474,1474,0,0,4394,2920,upper,0.5145707213053552,0.4853864943974639,4.2784298793959676e-05,1.5451702750263394,0.25574425574425574,505,5
72,1756,1756,0,0,5245,3489,upper,0.35977485263432785,0.63996788097715,0.00025726639798760926,3.3758000060803557,0.000999000999000999,476,52
73,1904,1904,0,0,5688,3784,upper,0.43707825686079416,0.5622397648916606,0.0006819782473327788,3.6120741362307505,0.000999000999000999,626,37
74,2129,2129,0,0,6367,4238,upper,0.3291497088842776,0.6708497498808366,5.412464044092089e-07,3.055167345095221,0.01998001998001998,627,8
75,1667,1667,0,0,4973,3306,upper,0.34437458925997283,0.6556025674008014,2.2843344368525505e-05,0.5084691644243062,0.8471528471528471,528,8
76,1592,1592,0,0,4751,3159,upper,0.3183144567263009,0.6816267476968921,5.8795576467108e-05,3.037513631473854,0.000999000999000999,303,107
77,1469,1469,0,0,4384,2915,upper,0.3580472306211367,0.6417384649542526,0.0002143044227190377,1.157006412269415,0.32667332667332666,445,14
78,931,931,0,0,2768,1837,upper,0.3774546310607834,0.6215405787975523,0.0010047901421302797,2.7206258465699964,0.004995004995004995,291,12
79,225,225,0,0,652,427,upper,0.6079054434769727,0.38990553428869645,0.002189022234331679,,,55,4
80,1595,1595,0,0,4757,3162,upper,0.25178581439492065,0.7475487462460737,0.0006654393579531759,0.11496992939317922,1.0,393,96
