i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
0,473,0.1275067931364484,0.1275067931364484,other,other,0.17938206843108062,-0.051875275294632234
0,1254,0.1753826359886282,0.1753826359886282,other,other,0.12369825420796132,0.051684381780666866
0,2810,-0.0296320401452238,0.0296320401452238,other,other,-0.06543602667441964,0.035803986529195836
0,576,0.1571543138103784,0.1571543138103784,other,other,0.0893389513781816,0.0678153624321968
0,4303,0.1004966879307706,0.1004966879307706,other,other,0.10070261581820517,-0.00020592788743456492
0,2532,0.1004966879307706,0.1004966879307706,other,other,0.2037194734390103,-0.10322278550823971
1,695,-0.1055887872941598,0.1055887872941598,interface,other,-0.06119567295780043,-0.04439311433635937
1,2742,-0.1828931180594522,0.1828931180594522,interface,interface,-0.0393884306069931,-0.1435046874524591
1,2201,-0.373047752947963,0.373047752947963,interface,interface,-0.3196204503084483,-0.05342730263951467
1,2042,-0.0177780994418542,0.0177780994418542,interface,interface,-0.2654993851676279,0.24772128572577368
1,3675,0.1430193139457202,0.1430193139457202,interface,immune_core,0.09347915856113231,0.04954015538458789
1,4030,0.1633484472246508,0.1633484472246508,interface,interface,0.2192852213043508,-0.05593677407969999
2,2487,-0.856181198665618,0.856181198665618,interface,interface,-0.4759138616730644,-0.38026733699255366
2,4361,-0.2881784105923475,0.2881784105923475,interface,other,0.01338913968275074,-0.30156755027509824
2,2681,0.4486337109209088,0.4486337109209088,interface,interface,0.11063985076135174,0.33799386015955707
2,1259,-0.1047311061832839,0.1047311061832839,interface,immune_core,0.006942958828184853,-0.11167406501146876
2,3602,0.4727036269143826,0.4727036269143826,interface,interface,0.21954316719599623,0.2531604597183864
2,3604,0.0740716964480634,0.0740716964480634,interface,interface,-0.12828335188916673,0.20235504833723011
3,2156,-0.0772067306604455,0.0772067306604455,interface,interface,-0.21133489433041305,0.13412816366996755
3,1534,0.027533735778216,0.027533735778216,interface,interface,0.12203735083258971,-0.09450361505437371
3,1428,0.3441833416550018,0.3441833416550018,interface,interface,0.3481142381801732,-0.003930896525171368
3,3454,0.1908809242773793,0.1908809242773793,interface,interface,0.13445305418050046,0.05642787009687883
