sample_id,status,n_interface,n_bulk,interface_CDIS_median,bulk_CDIS_median,cdis_gap,p_value,significant,cdis_formula
GSM8557976,ok,1920,155,7.0329285778987325,-0.06880117006587752,7.10172974796461,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557977,ok,654,9,5.327854338155999,-0.17750861268195717,5.505362950837956,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557978,ok,825,48,13.593689874560244,0.6515007956445173,12.942189078915726,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557979,ok,2092,85,3.9596647790067605,-0.11952581775335605,4.0791905967601165,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557980,ok,1921,39,2.9690698780330793,-0.23118074967661484,3.200250627709694,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557981,ok,1055,89,5.144735517053355,-0.28725551050771125,5.431991027561066,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557982,ok,1444,131,7.881914496528504,-0.22360140181329394,8.105515898341798,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557983,ok,835,107,5.6396106877532715,-0.1815230280596336,5.8211337158129055,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557984,ok,444,42,1.8137620207906395,-0.34980933437234796,2.1635713551629876,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557985,ok,2181,65,6.263055243904316,0.1942973788727557,6.06875786503156,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557986,ok,966,21,8.321528548728427,0.44574835014382697,7.8757801985846,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557987,ok,322,12,5.082040313874321,-0.16689249683980145,5.248932810714122,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557997,ok,1073,251,7.977421687475002,-0.31414175253818577,8.291563440013189,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557998,ok,1524,17,6.089194754753768,-0.16716868001669877,6.256363434770467,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8557999,ok,1444,179,15.483480008216052,-0.1007722112745243,15.584252219490576,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558000,ok,1988,71,6.10705687021428,-0.1249848195169995,6.23204168973128,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558001,ok,1376,45,6.02083299383275,0.03834676372652951,5.98248623010622,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558002,ok,1665,45,8.256946122869305,0.028501346153143287,8.228444776716161,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558003,ok,2434,80,4.849159825416793,-0.18112479742708484,5.030284622843878,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558004,ok,1522,6,13.608841636428528,0.015837377414075628,13.593004259014451,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558019,ok,269,6,3.8811699607406176,16.94798168425487,-13.066811723514252,1.0,0,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558020,ok,746,23,4.7413225559239045,-0.2390616909211588,4.980384246845063,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
GSM8558022,ok,549,85,9.679457525054115,-0.18166909039998183,9.861126615454097,0.0,1,"rz(coexact_exact_ratio) + rz(|L2u|) + rz(nonlin_grad) [robust z-score: median-centered, IQR-scaled]"
