sample_id,regime,coexact_energy_median,coexact_energy_mean,coexact_energy_std,exact_energy_node_median,exact_energy_node_mean,exact_energy_node_std,coexact_exact_ratio_median,coexact_exact_ratio_mean,coexact_exact_ratio_std,graph_curvature_median,graph_curvature_mean,graph_curvature_std,bilaplacian_mag_median,bilaplacian_mag_mean,bilaplacian_mag_std,nonlin_grad_energy_median,nonlin_grad_energy_mean,nonlin_grad_energy_std
GSM8557976,bulk_like,0.006944,0.007136,0.003904,0.011506,0.022229,0.028402,0.642843,1002354876.11438,2787302547.49136,0.002391,0.004144,0.005516,0.001286,0.004397,0.014373,1.6e-05,0.000323,0.001277
GSM8557976,immune_like,0.021709,0.067402,0.154831,0.02328,0.070659,0.132864,1.116075,16255902173.593407,101019129125.34265,0.010266,0.142377,0.547244,0.014553,0.582773,2.301631,0.000107,0.013386,0.072144
GSM8557976,interface_adjacent,0.029597,0.041726,0.041081,0.026818,0.042742,0.051111,1.040107,5108396424.013199,15934386114.594896,0.009242,0.036704,0.07955,0.010759,0.083794,0.249274,0.000185,0.001206,0.0026
GSM8557976,interface_like,0.035916,0.173627,0.563068,0.01538,0.194286,0.855329,2.205523,21790987743.549824,231802350551.01736,0.024073,0.575646,3.803858,0.035692,7.107571,62.900645,0.00059,0.152856,1.081689
GSM8557976,other,0.004597,0.015716,0.042945,0.005953,0.015815,0.041928,0.907772,1960823580.785672,12758142685.863056,0.001548,0.017863,0.089174,0.000881,0.05106,0.432625,9e-06,0.002069,0.021889
GSM8557977,bulk_like,0.010472,0.01064,0.002651,0.010504,0.040208,0.080662,1.11213,1.63542,1.982676,0.0055,0.008261,0.007135,0.002891,0.004272,0.004468,6e-05,0.000471,0.001033
GSM8557977,immune_like,0.011126,0.022453,0.032326,0.011543,0.040735,0.081683,1.039203,4464158107.855866,17195521877.851864,0.003245,0.016777,0.040012,0.003017,0.027208,0.066237,2.6e-05,0.000511,0.001935
GSM8557977,interface_adjacent,0.049178,0.124123,0.217431,0.009554,0.0708,0.165831,7.443184,4167881533.607076,15209087101.407179,0.025475,0.171475,0.406326,0.069221,0.524177,1.48316,0.0005,0.036503,0.139197
GSM8557977,interface_like,0.041478,0.112443,0.259901,0.010883,0.18327,0.99276,2.992752,17177450604.207375,101568540958.08125,0.027702,0.217041,1.126915,0.049351,1.503273,10.700897,0.000619,0.036338,0.313019
GSM8557977,other,0.00495,0.011659,0.024821,0.006316,0.012708,0.018386,0.973214,1250749956.037381,4788385125.024958,0.001676,0.012355,0.045618,0.001106,0.022312,0.17151,1.7e-05,0.001228,0.008455
GSM8557978,bulk_like,0.005108,0.006168,0.003115,0.007537,0.020241,0.038756,0.78625,904434969.325008,2304221542.961894,0.00306,0.008014,0.015653,0.002023,0.008615,0.020017,1.8e-05,0.007974,0.051493
GSM8557978,immune_like,0.016837,0.028201,0.039123,0.022664,0.051996,0.132543,0.863271,3126956031.167432,11630695691.576097,0.004564,0.033811,0.093748,0.005639,0.073926,0.221309,7.4e-05,0.006629,0.024859
GSM8557978,interface_adjacent,0.028243,0.06308,0.090284,0.016373,0.078426,0.265563,1.846531,10957084406.582739,46629265728.025475,0.020382,0.063791,0.107977,0.024238,0.174124,0.346389,0.000215,0.00519,0.015764
GSM8557978,interface_like,0.060274,0.219645,0.538814,0.018447,0.410812,1.950565,2.420051,32095197982.055847,198409805324.6228,0.060023,0.660059,3.131858,0.105097,6.139353,48.075005,0.001841,0.161785,1.021861
GSM8557978,other,0.003292,0.008975,0.023354,0.008438,0.014538,0.026006,0.562154,1205192299.966971,6184621752.726032,0.00067,0.008792,0.036004,0.000298,0.015038,0.073523,3e-06,0.001092,0.012071
GSM8557979,bulk_like,0.004266,0.004564,0.002143,0.00711,0.013703,0.020324,0.67896,588682954.551375,1707698769.673293,0.001299,0.00223,0.002499,0.000454,0.001131,0.001649,1.3e-05,9.9e-05,0.000203
GSM8557979,immune_like,0.008297,0.022011,0.053125,0.007044,0.037553,0.124614,1.265451,2502412235.191608,13180311965.328209,0.0022,0.029466,0.136066,0.001583,0.101138,0.639877,1.9e-05,0.001191,0.007187
GSM8557979,interface_adjacent,0.018548,0.02704,0.023324,0.009544,0.019976,0.030011,2.359523,4108843279.334082,13055329497.798729,0.004244,0.016763,0.038198,0.004491,0.030292,0.09263,8.4e-05,0.001675,0.011302
GSM8557979,interface_like,0.017465,0.058495,0.216231,0.004902,0.071962,0.496054,2.925334,8405632745.612339,89419663470.7351,0.007357,0.115953,1.017256,0.006968,0.939795,12.386703,0.00013,0.019346,0.23346
GSM8557979,other,0.003348,0.007441,0.012816,0.003461,0.007364,0.011939,1.156162,1219234302.188754,5829743826.060376,0.000947,0.003874,0.01272,0.000435,0.006553,0.040926,8e-06,0.000182,0.001041
GSM8557980,bulk_like,0.001476,0.002278,0.002151,0.003238,0.009628,0.018742,0.679056,450486551.352914,1470485117.409522,0.000508,0.002006,0.003828,0.00034,0.000958,0.001616,2e-06,0.000108,0.000377
GSM8557980,immune_like,0.010455,0.039711,0.084166,0.005715,0.050396,0.156373,1.480708,5224848270.416557,34892769829.02658,0.005618,0.052329,0.220853,0.004834,0.18947,1.334107,6e-05,0.00626,0.070642
GSM8557980,interface_adjacent,0.012011,0.012665,0.004078,0.014165,0.014363,0.014734,0.988188,4003822884.347526,6214501679.690273,0.009728,0.016717,0.02102,0.004077,0.005861,0.005668,1.4e-05,0.001166,0.002402
GSM8557980,interface_like,0.013885,0.054935,0.17142,0.008469,0.084805,0.385801,1.55891,7437896469.171317,49486641032.207405,0.007231,0.104516,0.74128,0.007201,0.586412,6.332509,9.5e-05,0.01584,0.215938
