i,j,flux_coexact
0,21,5.5266724574771645e-06
0,22,7.978779548304378e-07
0,78,3.4068849951523815e-06
0,137,7.049142300378437e-07
0,486,-5.111625241148995e-06
0,798,-5.324724396348833e-06
1,325,3.3149995193034945e-06
1,514,-9.02153802382278e-06
1,561,-2.0621503885450093e-06
1,569,7.004543605754204e-06
1,633,3.833338998075219e-06
1,747,-3.069193710765128e-06
2,65,-3.268813329297896e-07
2,162,2.151779654098484e-07
2,661,-1.4141584581761354e-05
2,672,1.260245017367963e-05
2,848,1.6508377756016651e-06
3,58,-5.870331814825276e-05
3,101,3.9956007263209255e-05
3,200,-3.3447142667203585e-05
3,297,8.351815973526623e-06
3,775,2.1326728552320095e-05
3,795,2.2515909026400377e-05
4,13,1.0418234712301037e-05
4,293,-1.823167133330897e-05
4,470,1.1665033081046584e-05
4,508,-3.851596460038652e-06
5,77,-9.102357198264614e-06
5,177,-7.884892167355666e-06
5,363,9.805628185818323e-06
5,604,-4.09304418470455e-06
5,747,1.2595882111138891e-05
5,810,-1.3212167466323843e-06
6,234,4.975541889696918e-06
6,386,2.914537811982631e-06
6,589,1.5382718024478128e-05
6,771,1.6520067343917834e-05
6,799,-1.7810505018631908e-05
6,837,-2.1982360051443603e-05
7,95,-2.509741397833777e-05
7,149,-3.618432530238533e-05
7,205,3.221427823699799e-05
7,264,4.955302069547363e-06
7,280,-1.3732558801211451e-05
7,331,5.207696078270754e-06
7,565,1.3838349642987986e-05
7,690,1.8798672054130457e-05
8,135,-2.250423470587915e-06
8,548,5.252186491589861e-06
8,594,4.987143559158252e-07
8,653,3.67909047593221e-06
8,680,-6.555836252292905e-06
8,831,-6.237316005570765e-07
9,218,-1.9125943818953985e-06
9,324,1.2453129339956284e-05
9,348,6.207711835965427e-06
9,402,-3.679924680080664e-06
9,697,-1.786520763766238e-05
9,840,4.796885523716731e-06
10,287,1.3208629724883973e-05
10,306,-0.0001053614929934
10,338,6.154203970529045e-05
10,423,1.731902590280408e-05
10,762,-1.5586439087719203e-05
10,769,2.8878236748207265e-05
11,18,2.1513093550190505e-05
11,40,1.4531053916231225e-05
11,268,1.094319267499573e-05
11,395,-1.730002852985565e-05
11,647,-5.200237030403486e-05
11,658,2.231505869247305e-05
12,413,9.017701779853354e-05
12,421,-0.0001233586448239
12,574,2.67058658017732e-05
12,648,5.7521994475382537e-05
12,663,-2.73046834168518e-05
12,823,-2.3741549834864984e-05
13,393,2.5510129793450825e-06
13,470,5.091697781576612e-06
13,498,5.968975610934859e-07
13,502,1.8649548754082083e-06
13,746,3.136715148776478e-07
14,25,-8.563530911912841e-06
14,75,2.2207871317882035e-05
14,126,-1.252297728950052e-05
14,184,-2.02491714821556e-05
14,457,0.000146623663919
14,504,-0.0001274958555533
15,23,-8.398571046130151e-07
15,247,-9.555303780290529e-07
15,267,-3.83010152187921e-06
15,768,3.4261702788941723e-06
15,811,1.932680697063109e-06
15,822,2.666380285639965e-07
16,66,3.891021310865064e-05
16,221,4.203175135668224e-05
16,385,-5.92129989473265e-06
16,459,-1.0061883787551474e-05
16,509,-5.0565884795876385e-05
16,756,-1.4392895987172368e-05
17,63,1.3807082664350278e-05
17,119,-1.2722151499313025e-05
17,227,8.702969628536146e-06
17,510,-1.778980016829877e-06
17,736,-8.008920776743523e-06
18,40,-1.1203024053436276e-05
18,268,-3.511061453314297e-05
18,543,-3.831923310345644e-06
18,721,-5.265723898050862e-06
18,823,7.692437934516625e-05
19,80,-2.895345964067404e-06
19,174,-3.0278585189887525e-06
19,354,-1.2808587171588982e-06
19,357,1.6732943228938926e-06
19,577,2.0484005050763534e-06
19,650,3.482368372244809e-06
20,181,-1.5448274412089194e-05
20,226,6.7342464398697794e-06
20,268,1.5594047466353358e-05
20,307,-5.305556309245454e-05
20,543,1.8156866160608105e-05
20,620,2.8018677437712495e-05
21,78,-3.5623486266616113e-06
21,267,4.6499591068577285e-06
21,798,-1.2275605981736107e-05
21,811,6.715311772157061e-06
21,832,9.999356186860094e-06
22,78,3.6506893997718688e-06
22,137,-1.2770517433850773e-06
22,208,-6.094912532785554e-07
22,359,-2.778352036059618e-06
22,551,1.8120835877818195e-06
23,172,5.867542580805036e-06
23,547,1.8396830061605948e-06
23,668,1.376847146538135e-07
23,811,-3.7498723571490904e-06
23,822,-4.934895049083369e-06
24,90,-0.0001384965037342
24,99,0.0002180035733719
24,277,0.000171668185508
24,440,-0.000133426831616
24,752,-4.327006839255855e-05
24,835,-7.447835513705786e-05
25,126,-1.545365742620976e-06
25,156,-1.916353429084909e-05
25,184,-1.5403923049490888e-05
25,784,-3.751379950910534e-05
25,843,6.506309168015346e-05
26,382,6.307164419576636e-05
26,418,-9.263094991507672e-05
26,698,0.0002239640490913
26,715,2.2881403984828215e-05
26,790,-0.0001564737997913
26,835,-6.081234756555992e-05
27,64,3.32034227864044e-05
27,206,0.0001374395569795
27,281,7.975420650154999e-06
27,518,-7.895675659472587e-05
27,704,-0.00012537236862
27,783,2.571072479864935e-05
28,44,-2.111891470847121e-05
28,121,9.093390392280309e-06
28,142,3.701879089177808e-05
28,229,-1.0718622484272598e-05
28,563,-3.6381089994838177e-07
28,777,-1.3910833191366196e-05
29,61,-2.172865969996793e-06
29,166,-3.513689312591766e-06
29,238,-5.512425274802323e-06
29,815,1.1198980557390882e-05
30,143,3.079849128514195e-06
30,299,5.383639644094567e-06
30,388,-4.383310962268408e-06
30,436,-4.581033260112657e-06
30,572,7.298175509206144e-06
30,827,-6.79732005943384e-06
31,43,1.768532858153487e-05
31,337,7.313209081944469e-06
