sample,coexact_interface_ratio,moran_I_coexact,boundary_DE_score,LR_proxy_score,laplacian_smoothness,NE_proxy_score,KTS_exhaustion_bias,n_interface,n_core,corr_coexact_moran,corr_coexact_boundaryDE,corr_coexact_LR,corr_coexact_lsmooth,corr_coexact_ne,VIF_moran,VIF_bdDE,VIF_LR,VIF_lsmooth,VIF_ne
Breast6,0.1958450636421222,0.06295573350652656,1.916008710861206,0.08782475721091032,0.20186662837872305,2.7281501612539114,0.1370692457737321,190,807,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Breast7,0.3127908086860907,0.04390380038476917,0.408097505569458,0.01926315389573574,0.2944530908731199,2.7722588632262677,0.19359523636627696,320,803,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Breast8,0.2564333456075334,0.03167910572688504,0.4501354396343231,0.005420129280537367,0.2199173530687018,2.3443121258537167,0.16718362282878413,238,947,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Breast9,0.3322115246383193,0.10526600610259534,1.246061086654663,0.00022541850921697915,0.31891293417366756,2.7123758998147767,0.11992582602832097,266,950,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Colorectal5,0.2217444902531082,-0.002685766002557494,1.0410122871398926,0.05617538094520569,,1.504233038289405,0.17564214338407888,46,1175,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Colorectal6,0.1187503079301827,0.018028294667641335,0.709772527217865,0.034162077121436596,0.06009148497784177,1.7152438928172766,0.18539517726620672,81,1110,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Colorectal7,0.2660803793086153,0.045659034955556725,0.8428789377212524,0.07213454321026802,0.14750291108954125,2.090718915250353,0.2026952883889994,90,1103,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Colorectal8,0.1334763222605683,0.03312856411228199,0.46808379888534546,0.09005342423915863,0.30123965279013437,1.6787717731549827,0.19629096146921138,152,985,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Glioblstoma2,0.4048333747893385,0.03783097706448178,0.16692188382148743,0.027484066784381866,0.2818375624445329,2.543179908505273,0.20460274484175148,281,594,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Glioblstoma3,0.3702200942882606,0.03195920505982526,0.10749933868646622,0.053970519453287125,0.21187231410701374,2.8126651823135123,0.19437444411503113,278,823,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Glioblstoma4,0.3934940130924595,0.01293360726237026,0.1836680918931961,0.033795307856053114,0.09600189598112768,8.63369313193736,0.1935386066567848,104,1111,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Glioblstoma5,0.3070665815953842,0.04534138822676127,0.6698118448257446,0.06256385985761881,0.4550301197125667,2.726208516307238,0.18899468556244464,279,830,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung1,0.5441935425138161,0.021614193432065325,0.5532087087631226,0.05806631036102772,0.2766432871480748,2.8741183304290088,0.17049960348929422,331,905,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung2,0.1992540220907067,0.058507129646598426,0.45576679706573486,0.09638529643416405,0.4754232471133784,1.662777777777777,0.22979166666666667,274,903,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung3,0.2972896141385209,0.014168821256691956,0.19593550264835358,0.02899508085101843,0.18370328314956047,2.093357483522045,0.18492379058979458,237,1000,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung4,0.121044582518577,0.009536895442739017,0.5791004300117493,0.03963509202003479,0.049201517843938586,2.3809629462505026,0.20721698433154717,114,1093,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung5,0.2318433468128019,0.04549758166721277,0.5903924107551575,0.21658062934875488,0.3884831926209637,2.148082088249034,0.1896895698667305,172,849,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung6,0.2127945061532201,0.09220923622318943,0.6512133479118347,0.09804711677134037,0.4047018129139007,2.0600434593144032,0.17467133513906322,297,945,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Lung7,0.1957094126719342,0.11547246665748223,0.07032936811447144,0.1552794724702835,0.24447372622650626,2.137058026505274,0.18275909974993054,146,1029,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
Ovarian1,0.3220093101524749,0.052008947494583076,0.6198872327804565,0.1373474858701229,0.2017177235809771,1.8800107448984116,0.18420158550396376,139,568,-0.187,-0.2362,-0.36,0.0454,0.6226,1.036,1.046,1.05,1.013,1.237
