sample_id,n_exhausted,n_non_exhausted,ratio_PDCD1,p_PDCD1,ratio_CTLA4,p_CTLA4,ratio_LAG3,p_LAG3,ratio_HAVCR2,p_HAVCR2,ratio_TIGIT,p_TIGIT,ratio_TOX,p_TOX,ratio_CXCL13,p_CXCL13
Breast6,3373,21235,10.586310386657715,0.0,14.50216293334961,0.0,5.522016525268555,0.0,3.6450295448303223,0.0,17.282550811767578,0.0,14.921065330505371,0.0,15.724726676940918,0.0
Breast7,5332,22210,11.066648483276367,1.6633245816451753e-28,9.843975067138672,0.0,9.512578010559082,0.0,12.921028137207031,0.0,20.73553466796875,0.0,161.813720703125,0.0,21.871469497680664,0.0
Breast8,4851,24165,11.042075157165527,0.0,11.543621063232422,0.0,6.240269660949707,0.0,6.185863018035889,0.0,13.568076133728027,0.0,13.095356941223145,2.1019476964872256e-44,25.143659591674805,0.0
Breast9,3557,26103,28.202064514160156,5.002635517639597e-43,29.7471866607666,0.0,15.871628761291504,0.0,21.87769889831543,0.0,41.21429443359375,0.0,11.677026748657227,0.0,31.088178634643555,0.0
Colorectal5,5238,24584,5.918810844421387,0.0,5.688235759735107,0.0,4.9255290031433105,0.0,3.2551095485687256,0.0,6.636775970458984,0.0,2.9088563919067383,0.0,6.6287760734558105,0.0
Colorectal6,5428,23850,10.667726516723633,0.0,9.21442699432373,0.0,4.178464412689209,0.0,4.862827777862549,0.0,8.449365615844727,0.0,2.7262918949127197,0.0,8.354893684387207,0.0
Colorectal7,5911,23251,2.8927152156829834,0.0,2.8116068840026855,0.0,2.278383255004883,0.0,2.24099063873291,0.0,2.6921045780181885,0.0,2.3130030632019043,0.0,3.467487096786499,0.0
Colorectal8,5451,22319,2.1158792972564697,0.0,2.548671245574951,0.0,1.583693265914917,0.0,1.6504974365234375,0.0,2.4542551040649414,0.0,2.3379874229431152,0.0,1.9216139316558838,0.0
Glioblstoma2,4383,17039,1.7637473344802856,6.210105766513152e-06,4.541874408721924,0.0,4.743989944458008,0.0,4.643304347991943,0.0,5.403007984161377,0.0,3.1802170276641846,0.0,4.49697732925415,0.0
Glioblstoma3,5245,21739,1.4501018524169922,0.06069045513868332,3.6529061794281006,1.0986179960306566e-42,2.094425678253174,5.32913927162535e-33,2.2862298488616943,0.0,4.452443599700928,0.0,1.9776955842971802,0.0,3.408064365386963,0.0
Glioblstoma4,5745,23939,7.411689758300781,3.293538944175445e-13,4.7853264808654785,0.0,9.79617977142334,0.0,5.724311828613281,0.0,7069.74609375,2.3779843713970848e-29,3.541638135910034,0.0,16.277189254760742,7.712692439257108e-23
Glioblstoma5,5121,21975,2.60998272895813,5.2380638756487946e-21,4.358996868133545,0.0,3.379197120666504,0.0,2.8038723468780518,0.0,3.3260440826416016,0.0,1.920496940612793,4.3633959539041316e-24,3.0460405349731445,6.01441934122704e-05
Lung1,5160,25104,4.130129814147949,0.0,4.548771381378174,0.0,4.103848457336426,0.0,4.953366756439209,0.0,4.859456539154053,0.0,3.9614408016204834,0.0,5.359100818634033,0.0
Lung2,6618,22182,2.436537981033325,0.0,2.7127015590667725,0.0,2.69576358795166,0.0,2.0837554931640625,0.0,3.073756217956543,0.0,2.0595524311065674,0.0,2.412886142730713,0.0
Lung3,5581,24599,5.018464088439941,0.0,3.514892339706421,0.0,4.308530807495117,0.0,4.1283111572265625,0.0,4.607139587402344,0.0,6.047502517700195,0.0,3.924856424331665,0.0
Lung4,6110,23376,5.719824314117432,0.0,4.523428916931152,0.0,2.06504487991333,0.0,3.051732063293457,0.0,3.4069323539733887,0.0,3.7390928268432617,0.0,3.222356081008911,0.0
Lung5,4754,20308,4.964968204498291,0.0,4.358273506164551,0.0,3.764741897583008,0.0,2.925239086151123,0.0,3.742762327194214,0.0,2.157327890396118,0.0,2.587740659713745,0.0
Lung6,5288,24986,4.551733493804932,0.0,4.1521477699279785,0.0,3.972226619720459,0.0,3.3806142807006836,0.0,4.111908435821533,0.0,2.500657796859741,0.0,4.159372329711914,0.0
Lung7,5262,23530,3.49874210357666,0.0,4.070467948913574,0.0,2.9008467197418213,0.0,3.016026258468628,0.0,3.4018075466156006,0.0,4.058215141296387,0.0,2.769862413406372,0.0
Ovarian1,3253,14407,4.948087692260742,1.1043795972173499e-35,6.820485591888428,0.0,5.74580717086792,0.0,7.009759426116943,0.0,5.9593610763549805,0.0,8.168755531311035,0.0,7.652118682861328,0.0
Ovarian2,5149,18403,3.1880130767822266,0.0,3.0479683876037598,0.0,1.727510929107666,0.0,2.2915570735931396,0.0,2.6853907108306885,0.0,1.9164782762527466,0.0,3.1229727268218994,0.0
Prostate5,5096,25120,3.360508918762207,0.0,3.605903148651123,0.0,2.234754800796509,0.0,3.6739661693573,0.0,3.6738522052764893,0.0,2.8827719688415527,0.0,3.8406858444213867,0.0
Prostate6,4632,25528,3.4901435375213623,0.0,3.77878475189209,0.0,3.1659748554229736,0.0,3.208974599838257,0.0,4.608951091766357,0.0,4.001741409301758,0.0,2.991379499435425,0.0
Prostate7,4704,24374,2.7187178134918213,1.7850726452550703e-09,3.8583197593688965,0.0,3.0490803718566895,0.0,3.421806812286377,0.0,6.45372200012207,0.0,5.1573662757873535,0.0,3.5078213214874268,1.2427733222935574e-35
Prostate8,4588,25596,5.966024398803711,0.0,4.622414588928223,0.0,2.9485182762145996,0.0,3.36008620262146,0.0,5.703586578369141,0.0,2.221219539642334,0.0,4.5548906326293945,0.0
Prostate9,5206,24792,5.642364025115967,1.7742400376202239e-40,5.3319993019104,0.0,4.7559027671813965,0.0,5.80694055557251,0.0,5.440031051635742,0.0,5.8247833251953125,0.0,2.1057968139648438,0.00015524119953624904
