sample_id,n_stroma_to_exh,n_stroma_to_other,ratio_FAP,p_FAP,ratio_POSTN,p_POSTN,ratio_COL1A1,p_COL1A1,ratio_COL3A1,p_COL3A1,ratio_TGFB1,p_TGFB1,ratio_CXCL12,p_CXCL12
Breast6,1014,3748,1.1368918418884277,0.05934369936585426,0.9594250321388245,0.9537973403930664,1.0091475248336792,0.0008509948966093361,1.0316921472549438,8.854564192972703e-09,1.2224079370498657,1.0184314329364508e-12,1.3519761562347412,2.3700453451100492e-27
Breast7,1806,4961,1.018184781074524,0.18377618491649628,0.987391471862793,0.9999970197677612,1.0006450414657593,0.6671954393386841,1.0015486478805542,0.4699866771697998,1.1736522912979126,1.6106831424167467e-07,1.1523076295852661,4.3651663617083614e-08
Breast8,1592,5407,1.0574270486831665,0.01945023238658905,0.9939952492713928,0.9462912082672119,1.0087114572525024,0.0009844220476225019,1.0266190767288208,6.806543662030151e-10,1.0558329820632935,0.05926896631717682,1.073723554611206,0.00616326043382287
Breast9,1065,4991,1.1822569370269775,0.05577947199344635,1.0227174758911133,0.0030836628284305334,1.0636190176010132,2.0969979852098137e-15,1.0732089281082153,7.735368248633308e-17,1.0969874858856201,0.26576337218284607,1.0127859115600586,0.4652784466743469
Colorectal5,1595,4793,1.22055184841156,6.0217101114778005e-15,1.1171542406082153,2.2728582457407463e-14,1.070349931716919,6.836070883862373e-29,1.017667293548584,8.169103239197284e-06,1.0896120071411133,6.0195270634721965e-05,1.3655059337615967,0.0
Colorectal6,1929,3951,1.028552532196045,0.3040142357349396,1.0017741918563843,0.3964789807796478,1.0732346773147583,1.1612169849759675e-20,1.0782190561294556,4.161843266839142e-38,1.1350555419921875,7.232582447613822e-06,1.1512219905853271,2.045220298896311e-06
Colorectal7,1068,6188,1.0250177383422852,0.036399200558662415,0.9805213212966919,1.0,0.9944326281547546,0.998522937297821,0.9904370307922363,1.0,0.9910899996757507,0.8469047546386719,1.0314834117889404,0.05693899467587471
Colorectal8,1012,3358,1.0286158323287964,0.06221709027886391,1.0382657051086426,0.0004323820467106998,1.016745924949646,0.0007158563821576536,1.0088263750076294,0.1518070548772812,1.1042134761810303,7.082888231479956e-08,0.9779521822929382,0.956473171710968
Glioblstoma2,770,2627,0.5545851588249207,0.5060331225395203,1.1411457061767578,0.018467145040631294,1.1074340343475342,0.0013349248329177499,1.2249491214752197,1.732267107534824e-09,1.2209447622299194,9.989903304585823e-08,1.4411559104919434,4.8522068931159887e-14
Glioblstoma3,878,3645,1.1936801671981812,2.0988279629818862e-06,1.032285213470459,0.00825172383338213,1.0488955974578857,2.4807805587556686e-08,1.0740910768508911,2.481090888295512e-10,1.0904209613800049,1.0251358162349788e-06,1.302527904510498,7.363001606531562e-15
Glioblstoma4,1213,3193,1.2919611930847168,0.0021562667097896338,1.3892184495925903,1.6687496895428922e-07,1.0896341800689697,7.123806426534429e-06,1.21579909324646,2.290001345560226e-14,1.2249568700790405,9.443763993033372e-09,1.5283358097076416,4.748619138338817e-31
Glioblstoma5,1113,2859,1.2454372644424438,2.642328036017716e-05,1.0223127603530884,0.10081037133932114,1.1954809427261353,9.674680896904278e-14,1.1003659963607788,1.6934562836468103e-06,1.249613881111145,3.265234075741989e-20,1.6638480424880981,5.501284225120428e-26
Lung1,1399,6137,0.8853183388710022,0.9161293506622314,1.140432357788086,0.02218041755259037,1.0474574565887451,0.10538342595100403,0.9663130640983582,0.9200341701507568,1.238110899925232,0.014025289565324783,0.9741221070289612,0.5677632689476013
Lung2,779,6156,1.1229450702667236,0.00021626465604640543,1.033602237701416,0.0002575908147264272,0.9896498322486877,0.9999863505363464,0.975733757019043,1.0,1.109897494316101,5.312194116413593e-05,0.9245147109031677,0.9996272921562195
Lung3,1267,6408,1.0939313173294067,0.015484420582652092,1.0087382793426514,0.29527267813682556,1.0040780305862427,0.019456489011645317,0.9968115091323853,0.8984278440475464,1.0209206342697144,0.24214468896389008,1.0826096534729004,0.02703961916267872
Lung4,1206,2735,0.9673888087272644,0.5262452960014343,0.8778232336044312,1.0,1.0188207626342773,0.014383300207555294,1.0547595024108887,1.2147469961954556e-15,1.2943716049194336,2.6017128007538304e-08,1.3998684883117676,1.5415806046803482e-05
Lung5,857,5079,1.168793797492981,3.849212225759402e-05,1.113478183746338,7.180037755460944e-06,0.9699844717979431,0.9999999403953552,0.9926953911781311,0.9615809321403503,1.220099925994873,3.2790157433737477e-07,1.3623332977294922,3.6109215118852733e-13
Lung6,1053,5870,0.979476809501648,0.20068961381912231,1.012486219406128,0.08891043812036514,1.0032120943069458,0.7003419995307922,0.9938247799873352,0.9296892881393433,1.1436516046524048,5.8765372159541585e-06,1.2747005224227905,1.6583834305805567e-09
Lung7,1492,5730,1.0162054300308228,0.15011441707611084,0.9941725134849548,0.8397022485733032,1.007230281829834,0.014280411414802074,1.0073684453964233,0.028522808104753494,1.036739706993103,0.027653425931930542,1.3705581426620483,1.051247983364102e-30
Ovarian1,899,3125,1.076495885848999,0.014002799987792969,0.9959456920623779,0.7034868597984314,1.005421757698059,0.05600486323237419,1.0216240882873535,1.1658387848001439e-05,1.1547046899795532,0.0009321089019067585,1.0674688816070557,0.026910310611128807
Ovarian2,518,6195,1.0510026216506958,0.10585500299930573,0.9083008766174316,0.7485024929046631,0.9164372086524963,1.0,0.9249535202980042,0.9999991655349731,1.0828150510787964,0.004849996417760849,0.9153038263320923,0.985527753829956
Prostate5,1434,4569,1.1885650157928467,0.0001770989765645936,1.1662278175354004,7.92231650061294e-20,1.0813673734664917,2.319752301524372e-37,1.0918841361999512,0.0,1.155920147895813,1.7028622977845187e-13,0.9872822761535645,0.6534488797187805
Prostate6,1344,5527,1.014246940612793,0.3631400465965271,1.038092017173767,0.26394227147102356,0.9916397929191589,0.7919959425926208,1.009013056755066,0.207656592130661,1.1197905540466309,0.0001870997657533735,1.0365442037582397,0.05038048326969147
Prostate7,1669,6187,1.163550615310669,0.00019303102453704923,0.9879700541496277,0.8931622505187988,1.019736647605896,0.005746197886765003,1.0345240831375122,1.6045248463214534e-10,1.0538303852081299,0.05225006863474846,1.0710031986236572,0.0006510926177725196
Prostate8,1322,5867,1.215287446975708,0.21503731608390808,0.9684838056564331,0.9520310163497925,1.0289450883865356,0.0013733191881328821,1.0410388708114624,1.4591651442685816e-08,0.9885614514350891,0.8840011358261108,1.077917456626892,0.012967120856046677
Prostate9,1362,5028,1.4616553783416748,1.1824115375702604e-07,1.1944392919540405,8.75387522886184e-12,1.0385750532150269,0.0007330105872824788,1.0623031854629517,8.903937782633875e-07,1.2665481567382812,1.511625056186273e-16,0.9333540797233582,0.18677520751953125
