face_id,i,j,k
0,1919,1902,142
1,2060,1643,621
2,1902,767,142
3,538,60,1407
4,538,1967,60
5,60,1199,1407
6,1199,1157,1229
7,1629,1407,1735
8,1716,1064,1536
9,1912,880,247
10,231,723,807
11,2147,538,136
12,538,2147,1967
13,392,2147,948
14,2147,392,1967
15,366,1000,1629
16,1585,852,763
17,523,763,1229
18,159,376,2156
19,522,1187,752
20,749,1199,545
21,1643,45,621
22,377,45,1643
23,1675,1716,1651
24,1064,1599,1212
25,1599,1064,1716
26,1442,821,1536
27,821,1442,1489
28,1529,1663,636
29,2012,596,1663
30,1630,1919,367
31,1919,751,1902
32,751,598,1902
33,346,1665,565
34,751,346,598
35,2010,1036,635
36,384,904,344
37,904,384,1550
38,1833,2161,880
39,1833,904,2161
40,904,1833,344
41,1912,2189,880
42,2100,231,1106
43,2060,2100,42
44,2100,1106,42
45,723,2100,2060
46,2100,723,231
47,1780,400,1519
48,987,937,1586
49,987,2060,621
50,1546,1780,1519
51,723,668,807
52,525,346,565
53,346,525,598
54,888,1625,1633
55,1625,888,1781
56,1293,731,2003
57,731,1293,1744
58,541,1829,402
59,1829,84,2162
60,1218,1722,1635
61,1823,1218,1635
62,1218,1823,452
63,928,1685,452
64,1685,928,1742
65,586,1823,1635
66,586,1300,1435
67,1765,586,1435
68,586,1765,1823
69,233,2147,136
70,2147,233,948
71,1335,392,948
72,1993,538,1407
73,538,1572,136
74,1205,1572,538
75,455,1043,1735
76,1043,1629,1735
77,2196,365,1067
78,365,2196,1320
79,1819,1000,1488
80,1629,1819,1407
81,1000,1819,1629
82,109,843,852
83,2124,843,2115
84,843,109,2115
85,1135,1585,763
86,1585,1135,1247
87,523,1135,763
88,1135,523,1247
89,1585,584,57
90,584,1585,1247
91,523,584,1247
92,1251,109,852
93,1585,1251,852
94,1251,1351,109
95,1056,1607,247
96,129,727,2052
97,727,129,1845
98,727,1746,2052
99,159,1340,610
100,1340,905,610
101,595,1465,1350
102,2059,159,610
103,159,2059,376
104,163,677,1767
105,2069,159,2156
106,2069,163,1767
107,1340,2069,1767
108,2069,1340,159
109,13,2041,836
110,1844,2081,1796
111,1245,2081,1844
112,2081,2074,1796
113,2074,2081,1428
114,1428,2081,1520
115,2081,1245,1520
116,522,2187,1187
117,2187,749,1187
118,1199,2187,1157
119,749,2187,1199
120,74,522,752
121,726,545,20
122,726,749,545
123,1404,278,0
124,2196,382,1320
125,382,2196,1860
126,1967,2036,60
127,392,2036,1967
128,1199,588,545
129,588,729,545
130,588,1199,60
131,1112,377,1643
132,917,1384,2193
133,1726,463,721
134,877,1041,1838
135,1495,1972,412
136,1972,1495,612
137,957,1743,42
138,1102,957,42
139,556,2028,825
140,556,607,1986
141,607,556,825
142,1148,1806,151
143,1027,1419,151
144,133,700,1027
145,133,1027,151
146,1806,133,151
147,700,1455,1027
148,1058,941,242
149,941,1058,115
150,1675,1976,1716
151,350,1934,122
152,623,1442,1536
153,548,1291,448
154,821,548,455
155,548,448,455
156,1291,574,1349
157,574,303,1349
158,1433,2012,1663
159,1529,1433,1663
160,1663,834,1651
161,1020,1226,86
162,1226,1020,2005
163,834,1226,2005
164,304,1569,1651
165,346,1485,1665
166,1485,346,751
167,1630,1485,1919
168,1485,751,1919
169,1778,1912,247
170,1607,1778,247
171,224,531,1472
172,1243,1546,711
173,1546,1243,1780
174,318,1243,711
175,1243,318,807
176,668,1243,807
177,1243,668,1780
178,530,1546,1519
179,552,668,723
180,552,723,2060
181,987,552,2060
182,564,987,1586
183,400,564,1586
184,564,552,987
185,552,564,668
186,564,400,1780
187,668,564,1780
188,2145,1372,2184
189,1372,2145,767
190,1426,1372,767
191,743,148,1902
192,148,767,1902
193,148,1426,767
194,84,1862,2162
195,1372,1279,2184
196,368,1109,767
197,1109,340,142
198,767,1109,142
199,2049,2145,2184
200,83,2049,2184
201,1165,1731,35
202,1165,969,1731
203,625,1293,743
204,1293,625,1744
205,892,743,1902
206,598,892,1902
207,525,892,598
208,892,625,743
209,625,892,525
210,1293,1283,743
211,1283,148,743
212,148,1283,1426
213,1283,1293,2003
214,116,1625,1781
215,2133,885,491
216,731,885,2133
217,885,731,1744
218,888,2121,1781
219,2121,2120,1781
220,2120,2121,149
221,2121,489,149
222,1114,2117,1089
223,1787,2067,1839
224,2067,147,748
225,1625,147,1633
226,147,1787,1633
227,1787,147,2067
228,692,719,881
229,692,1787,1839
230,260,1829,2162
231,1829,260,402
232,1300,1861,1363
233,1861,251,1363
234,1722,1016,1635
235,1532,1016,1219
236,1016,1446,1219
237,1446,1016,1722
238,1029,1300,1363
239,1300,1029,1435
240,529,243,2127
241,243,529,988
242,1316,995,1142
243,1455,1316,1142
244,1316,1455,700
245,995,1734,1142
246,1495,1652,612
247,688,292,2089
248,1218,1714,1722
249,1823,912,452
250,912,928,452
251,1765,912,1823
252,928,912,250
253,1456,541,402
254,1456,1685,1742
255,1968,586,1635
256,586,1968,1300
257,1968,1861,1300
258,1861,1968,1532
259,1016,1968,1635
260,1968,1016,1532
261,2176,1828,250
262,912,2176,250
263,2176,912,1765
264,1335,1761,392
265,1761,2036,392
266,2036,1761,445
267,1761,1335,1320
268,382,1761,1320
269,1761,382,445
270,1285,1993,1407
271,1285,1611,1993
272,233,257,1396
273,257,233,136
274,1572,257,136
275,1074,257,1572
276,1396,1074,2024
277,257,1074,1396
278,2153,1205,1410
279,2153,986,1205
280,1043,1966,1629
281,1966,1043,455
282,1265,1396,2024
283,1669,1265,430
284,233,1669,948
285,1669,233,1396
286,1265,1669,1396
287,327,2006,1200
288,1513,2006,1003
289,1575,2017,2134
290,2017,485,2134
291,485,2017,127
292,127,2017,744
293,1535,1575,890
294,404,1813,419
295,1813,428,419
296,428,1813,1793
297,677,169,1767
298,109,193,2115
299,1351,193,109
300,82,843,2124
301,843,82,852
302,852,82,763
303,763,82,247
304,559,1251,1585
305,195,224,1472
306,1292,813,775
307,1645,1228,1925
308,1645,1721,988
309,529,1645,988
310,1645,529,1228
311,1127,898,1731
312,969,1127,1731
313,898,1531,1731
314,1731,1531,35
315,1531,1364,35
316,516,239,16
317,239,1026,16
318,1026,1609,16
319,1609,1943,16
320,1474,129,2052
321,129,1474,1631
322,765,962,1097
323,962,765,811
324,1798,537,1204
325,537,1798,811
326,33,1302,1989
327,2062,596,2012
328,1302,1864,276
329,1864,1302,33
330,1867,170,622
331,129,269,1845
332,269,129,1631
333,808,896,1638
334,537,1416,1204
335,1416,537,408
336,808,215,999
337,215,808,1638
338,164,1746,727
339,215,164,999
340,1443,802,2000
341,388,2059,610
342,2059,388,1145
343,188,905,1465
344,595,188,1465
345,1936,1313,741
346,947,1313,1954
347,1119,584,523
348,1119,523,1229
349,584,1119,57
350,1119,1954,57
351,1157,1119,1229
352,947,1119,1157
353,1119,947,1954
354,1923,2059,1145
355,2059,1923,376
356,1267,229,0
357,229,1404,0
358,829,271,1225
359,2140,1267,0
360,1053,13,836
361,878,1053,836
362,245,1844,282
363,245,1245,1844
364,245,182,1245
365,2118,1048,2090
366,2187,1080,1157
367,1080,2187,522
368,1080,947,1157
369,1404,864,278
370,864,726,20
371,2036,906,60
372,906,2036,445
373,906,588,60
374,382,244,445
375,244,382,1860
376,545,1298,20
377,1540,689,1067
378,1264,958,377
379,1112,1264,377
380,1264,1112,1549
381,1703,1024,1741
382,649,1643,635
383,703,1264,1549
384,1264,703,958
385,2080,547,621
386,547,987,621
387,987,547,937
388,2126,2080,621
389,1395,457,1556
390,457,1700,1556
391,457,1695,1700
392,1041,1072,1838
393,425,1695,1354
394,1695,425,1700
395,71,720,1196
396,720,71,85
397,643,1642,1196
398,643,720,431
399,720,643,1196
400,2016,1726,1354
401,463,2016,1758
402,2016,463,1726
403,463,1559,721
404,275,71,1196
405,519,459,926
406,459,519,1930
407,607,437,1986
408,804,1972,612
409,1972,804,1832
410,1832,360,1838
411,360,877,1838
412,804,360,1832
413,360,804,2174
414,1980,1041,877
415,1041,1980,1905
416,2028,800,825
417,800,2107,825
418,1102,1007,1574
419,1007,146,1574
420,146,1007,183
421,1007,1102,42
422,183,1007,42
423,1084,1102,1574
424,1084,957,1102
425,1110,1975,570
426,1661,157,699
427,157,1661,1930
428,1013,587,1523
429,683,146,306
430,146,683,1574
431,2139,725,2198
432,2186,1227,1830
433,152,2186,1830
434,576,1495,412
435,1928,1419,1027
436,1419,1928,1991
437,1455,1928,1027
438,1227,794,818
439,794,2186,845
440,2186,794,1227
441,2064,1419,1991
442,997,2064,1991
443,2064,997,818
444,794,2064,818
445,1844,1173,282
446,1173,1844,1796
447,687,1983,567
448,941,1997,242
449,1636,1058,242
450,1834,1594,115
451,1058,1834,115
452,237,1073,1502
453,1073,1037,1502
454,290,1134,1945
455,1101,290,1945
456,1037,629,1164
457,1374,1676,932
458,542,1676,268
459,2056,966,1705
460,2013,529,2127
461,529,2013,1228
462,348,1976,1174
463,348,1599,1716
464,1976,348,1716
465,1934,1390,1517
466,1390,1934,350
467,1390,1699,1517
468,696,348,1174
469,348,696,1599
470,1484,1254,1498
471,1768,943,1908
472,1254,1768,1498
473,943,1195,1908
474,925,657,1190
475,657,623,1190
476,1442,657,1489
477,623,657,1442
478,352,1064,1212
479,1064,352,1536
480,352,623,1536
481,303,49,2134
482,1575,49,890
483,49,1575,2134
484,1950,574,1291
485,1950,821,1489
486,1950,548,821
487,548,1950,1291
488,574,666,303
489,666,49,303
490,1939,1400,1128
491,1400,1939,2129
492,1000,1938,1488
493,366,1938,1000
494,1314,1756,194
495,532,1756,1236
496,1756,532,194
497,1291,1210,448
498,1210,532,1236
499,1210,1291,1349
500,532,1210,1349
501,596,1189,1663
502,1189,834,1663
503,1189,1226,834
504,834,931,1651
505,931,304,1651
506,931,834,2005
507,1733,722,1672
508,722,1443,1672
509,1429,1733,1672
510,1429,1124,1733
511,488,338,770
512,338,1682,497
513,684,1682,492
514,1682,488,492
515,488,1682,338
516,1712,549,367
517,1712,367,42
518,1743,1712,42
519,338,1757,770
520,1712,1757,549
521,770,1757,1743
522,1757,1712,1743
523,682,2068,436
524,2068,682,797
525,779,2130,2010
526,2010,2130,1036
527,1024,2130,1741
528,1036,2130,1024
529,1874,779,2010
530,531,1932,1472
531,1778,1932,1912
532,1932,2189,1912
533,1932,531,2189
534,531,946,2189
535,2189,946,880
536,512,551,1836
537,1612,551,1881
538,1620,1827,1881
539,1462,384,344
540,1462,1612,384
541,551,1462,1836
542,1462,551,1612
543,1905,508,1556
