face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
0,1919,1902,142,1.3010099571779406e-08,5.633158483536399e-09,6.213873515499861e-09,5.890891975991856e-15
1,2060,1643,621,1.5777851473057972e-09,5.260192383763806e-08,4.24411397204955e-08,5.115781476783577e-15
2,1902,767,142,4.061220710607932e-08,2.12659028914976e-07,8.288837990786698e-08,1.975090334897739e-15
3,538,60,1407,1.0007125148818079e-08,1.634654446250651e-07,9.259856954959789e-08,1.3165812632281416e-15
4,538,1967,60,1.2798328998196298e-06,1.1843696776704362e-06,5.5652971579268504e-09,3.916197969928854e-16
5,60,1199,1407,5.711968612119951e-09,8.915674029275123e-08,5.842495019543274e-08,5.2099210824598985e-15
6,1199,1157,1229,2.348682928952332e-06,3.3007709201627936e-06,3.8047072927877825e-07,2.6866991437071242e-15
7,1629,1407,1735,1.9592093974224834e-06,1.9076405884938134e-06,4.44518957068649e-07,2.004631321217085e-15
8,1716,1064,1536,7.181916120401232e-08,1.948007271936872e-07,3.140788514109441e-08,7.521188548498131e-16
9,1912,880,247,1.7633264027070587e-07,1.25157078899624e-06,5.168414828553338e-07,2.18334912358856e-15
10,231,723,807,1.2655934807071537e-07,1.735410143727071e-07,3.002448734937943e-08,3.194376228987713e-16
11,2147,538,136,2.094648385155754e-09,4.7320449036781734e-08,6.292046579218022e-08,7.112181466719002e-17
12,538,2147,1967,1.5142991993773254e-06,1.5538817944461893e-06,3.2724205817262596e-08,1.6624114786690523e-16
13,392,2147,948,1.2377187425294352e-06,1.6330181342394342e-06,6.587964381560802e-08,3.81228198878143e-17
14,2147,392,1967,1.0621705852334523e-06,1.5636689056102825e-06,1.1587016384144195e-07,4.033099896655132e-17
15,366,1000,1629,1.1640337999910303e-05,1.277759736201656e-05,2.9714498033469813e-08,7.03881051127123e-17
16,1585,852,763,1.1498627903611057e-08,6.393523440718079e-08,3.3958795047436304e-08,2.237522095776933e-16
17,523,763,1229,8.779362666714072e-07,7.408476117516136e-07,2.2837708142666115e-07,1.3942524513226883e-15
18,159,376,2156,1.7433437281914442e-06,1.1589888468553396e-06,1.8157952132997174e-07,6.199164459624256e-17
19,522,1187,752,5.960161400055062e-06,6.2344384098927285e-06,4.5524212631369344e-07,9.394133087020158e-17
20,749,1199,545,6.017614588637499e-08,2.458080389572483e-07,8.619819281719339e-08,2.8165735657605303e-16
21,1643,45,621,1.1750723938602721e-08,7.686803197811205e-08,3.1317039692989806e-08,1.0395191707302536e-15
22,377,45,1643,2.0642196277296067e-07,2.951971816131675e-07,6.82247326737414e-08,1.7909031210601534e-16
23,1675,1716,1651,3.901587304277177e-07,4.9870450666449e-07,1.49047031724731e-07,7.618010149748896e-16
24,1064,1599,1212,9.715535758780072e-07,8.086969598221132e-07,5.02965555721345e-08,9.79983116597154e-17
25,1599,1064,1716,3.7472147906897805e-07,3.9874315628816166e-07,2.2274406984251595e-08,2.0552270312403378e-16
26,1442,821,1536,3.6545335120583644e-10,2.0101939695912472e-10,4.24360470161067e-10,7.180277573619581e-16
27,821,1442,1489,6.6252710344529585e-09,1.3557248270655665e-08,2.178135681457149e-09,1.824090471369235e-16
28,1529,1663,636,3.017052599319809e-07,4.0312295627562754e-07,2.2579340461113898e-07,5.576813483547323e-16
29,2012,596,1663,1.7813024863123285e-06,1.2819959450524694e-06,8.66562586245231e-08,2.722687467584887e-17
30,1630,1919,367,7.495324313699389e-07,1.179289225602299e-06,9.557771158122417e-08,4.943885740606701e-15
31,1919,751,1902,4.907623438603249e-08,1.247485652838634e-07,3.013293951028209e-08,1.1288627906398152e-15
32,751,598,1902,1.0806207536613412e-06,7.854175130921788e-07,2.804388432424393e-07,6.207948595478438e-16
33,346,1665,565,3.4736815453203412e-06,2.097218857037283e-06,1.95823921894925e-07,2.288188052782702e-16
34,751,346,598,1.6974885891385162e-06,7.629121073646861e-07,1.8783960251942382e-07,1.8108214284609607e-16
35,2010,1036,635,2.046451948745483e-08,2.9894326848059684e-08,2.8416424444291893e-09,1.7706819752273484e-16
36,384,904,344,4.958505806457698e-06,5.539374592503577e-06,6.293906332520207e-07,1.26642388328555e-16
37,904,384,1550,3.956402694303353e-06,5.149999397672907e-06,2.775528452232798e-07,1.1133395562110791e-16
38,1833,2161,880,3.300008932807008e-08,3.153084791288472e-07,2.6459419530674233e-07,2.458933528723308e-15
39,1833,904,2161,4.7466286706210966e-07,3.127795595010488e-07,1.0959615556063576e-07,6.112330293626631e-16
40,904,1833,344,1.4404482097095471e-05,9.220953881961523e-06,6.481472517136678e-07,1.8354401336029797e-16
41,1912,2189,880,1.542013825666722e-06,2.137121471072923e-06,2.4428895294601566e-07,5.110709215756938e-16
42,2100,231,1106,1.4830861084918268e-08,3.489285006196142e-08,4.566740967178701e-09,3.4354182472720606e-16
43,2060,2100,42,2.2715119858488588e-08,1.6731077105471827e-07,8.553535737809709e-08,6.324470808636015e-15
44,2100,1106,42,2.036186796074435e-09,1.1785892314700292e-09,8.831791556668856e-10,1.969680777953359e-15
45,723,2100,2060,1.3429773713650661e-07,1.2870752774934532e-07,4.6101490866347285e-08,1.2489172111735013e-15
46,2100,723,231,1.0850416527242609e-07,3.083328772626294e-08,4.725743717275597e-08,4.61962266768134e-16
47,1780,400,1519,2.3421153013886534e-06,1.5424222086514604e-06,1.120311648433329e-07,1.0606568116905809e-16
48,987,937,1586,9.429223317138153e-08,4.0784678083478486e-08,1.901883673826534e-08,5.257444221312174e-17
49,987,2060,621,1.3013192718540304e-08,2.0735416921824428e-07,1.572175881890642e-07,1.5346995090615083e-15
50,1546,1780,1519,1.9843613757618915e-06,1.7433471491920854e-06,2.8307330236444267e-07,1.0825373533925596e-16
51,723,668,807,4.546400164354864e-06,3.3374362411552244e-06,2.0648404152589849e-07,1.7854535573176915e-16
52,525,346,565,3.5213749259735414e-06,2.8599038056153598e-06,1.4448370011891954e-07,1.40948143755118e-16
53,346,525,598,4.1466059088971875e-06,4.5858925591595524e-06,8.197983148906452e-08,1.8689605327610075e-16
54,888,1625,1633,7.487415359007876e-08,8.561191234889556e-08,4.837663828549277e-09,6.874353745480078e-17
55,1625,888,1781,1.3616744155013038e-06,1.6300999210551496e-06,1.685762894031653e-08,7.092480837872158e-17
56,1293,731,2003,6.632610668558062e-06,5.610113029676698e-06,6.146791937183152e-08,5.830110370862537e-17
57,731,1293,1744,8.433642503057114e-06,7.1587301090667085e-06,8.740515202333056e-08,7.959612387168491e-17
58,541,1829,402,3.9128373487239154e-06,3.885521754817211e-06,6.77693391219142e-09,4.0752632291265275e-17
59,1829,84,2162,1.930024527812248e-05,1.6612252622823782e-05,1.0541961966784655e-07,3.067572141998312e-17
60,1218,1722,1635,2.3333961456874776e-06,1.7050731527084027e-06,1.0754739999510731e-07,1.1106870474611136e-16
61,1823,1218,1635,7.6206681791442154e-06,6.862068910290847e-06,1.5689904592438755e-07,1.0036958850951753e-16
62,1218,1823,452,1.001687130320257e-05,7.872369228489736e-06,2.6596530846743933e-07,1.0137883266679461e-16
63,928,1685,452,7.623250161512584e-06,7.4039077036113546e-06,2.2637791181678588e-08,6.918272070589245e-17
64,1685,928,1742,8.237131825940296e-06,7.756649619163861e-06,1.0863675361103549e-08,6.650101414479002e-17
65,586,1823,1635,4.3795467600919035e-06,5.422810474323769e-06,9.008716558123006e-08,9.264843361587527e-17
66,586,1300,1435,4.204028682046602e-06,4.077188761414745e-06,1.5298645535728652e-07,7.253881908708176e-17
67,1765,586,1435,2.3786313512543427e-06,2.016452986607392e-06,2.061001835908717e-08,7.225272048471826e-17
68,586,1765,1823,7.848691747422739e-06,1.0606318159870628e-05,3.532904182992494e-07,7.376640931732841e-17
69,233,2147,136,4.60799294088324e-07,1.048038800440599e-06,1.2402851982887765e-07,1.795727671946362e-17
70,2147,233,948,1.048058274804763e-06,1.2463179843661228e-06,6.073953293451936e-08,1.5765129968600366e-17
71,1335,392,948,9.972073228640548e-07,1.5750605593926186e-06,7.6320739262609e-08,2.0342108032975715e-17
72,1993,538,1407,3.87509809308548e-08,3.5022311893574377e-07,1.904594933806562e-07,3.026847158510613e-16
73,538,1572,136,1.3741115112845548e-06,2.471088460046003e-06,2.0478843689345542e-07,1.696271205530741e-17
74,1205,1572,538,2.616784068937469e-06,2.530994252780144e-06,2.4483032900459386e-07,3.256741197643587e-17
