face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
0,563,3,1338,2.367720831108274e-10,1.0739930834454006e-09,6.499231428274235e-10,7.886535391052047e-19
1,1601,563,1237,1.2081718726789063e-09,4.7375188329912985e-09,2.4791081738532824e-09,5.126008973745478e-19
2,1106,691,1864,4.445829923252404e-09,2.849573622194838e-09,5.084962478137283e-09,1.7565799030293176e-18
3,872,1546,530,1.5453582338291355e-10,5.963026130114461e-09,6.908882785295917e-09,2.0646726172029837e-17
4,1395,1160,1338,3.990582861893965e-11,5.369191896742373e-10,4.228623219449549e-10,2.6279159714398997e-17
5,618,945,363,6.864906621820195e-10,1.2405861096018527e-09,3.4797123169789277e-09,6.016111972423833e-19
6,2016,3,1247,5.805990882931887e-09,1.3067423300777533e-09,4.219508952345744e-09,2.763315273318624e-19
7,2109,3,563,1.9244557134791145e-09,6.097373193714015e-10,9.548690341185698e-10,3.7674517888014855e-19
8,3,2109,1247,3.569422691701237e-09,6.637251806658871e-10,1.4688683934496486e-09,1.759994470561665e-19
9,1601,1188,563,5.7152569445231845e-09,2.1122540591551834e-10,5.514665145547679e-09,1.1347478119026938e-19
10,2109,1282,1247,9.146881314933679e-10,1.0346885746572577e-09,2.228940950308044e-09,2.003139641035252e-19
11,544,253,1939,3.3393375742647384e-09,2.9308991578064215e-09,1.1864041198397997e-08,4.742890112817039e-19
12,1891,253,544,1.2396234582602834e-08,4.337027907709948e-09,1.5483601754460574e-08,1.3386647844796753e-19
13,278,1891,544,4.452926634633076e-08,4.663720896096746e-09,2.9310623994707225e-08,1.0816358486980241e-19
14,2152,372,1546,2.133976406703374e-09,2.279847842075242e-09,5.854293755187583e-10,5.135337395459251e-18
15,872,2152,1546,1.0535089848197816e-08,5.691733727455381e-09,4.532285296834473e-09,1.0033141552536976e-17
16,355,834,1546,5.303820326910115e-11,4.56009141678493e-09,4.927579560323318e-09,4.525268682641054e-17
17,1660,1842,1807,3.182550118666048e-08,6.309875398579037e-09,2.073014368374346e-08,5.2497691629198685e-19
18,1842,1660,1262,3.259285410610608e-08,5.9058881858165996e-09,2.255836501966882e-08,6.84784355193905e-19
19,1842,1262,535,1.4863199104162184e-09,3.616169765401608e-10,5.925531166686431e-10,6.024040069427148e-19
20,571,2000,1750,4.663884341054974e-10,2.6405295601367046e-10,7.63353765881219e-11,2.222535156923475e-18
21,1816,1395,1338,7.622457094372105e-11,1.2439983870110374e-09,1.5088163291188138e-09,7.928880948210994e-18
22,546,1601,1237,1.4100875982456952e-08,5.220170478849793e-09,1.3421864303122937e-08,2.697087363274473e-19
23,546,720,1601,5.979009803830924e-08,8.251966145533284e-09,3.061640727498775e-08,2.0176406916541902e-19
24,1556,1635,318,5.559454745714173e-08,4.2235085476210194e-09,3.6538882386675255e-08,2.9858088437584965e-19
25,1635,1556,1443,3.4433062528198908e-09,1.4205681953366468e-08,2.1888893429180468e-08,1.6811872555178943e-19
26,1188,1267,563,3.185658817944491e-10,1.9376100286641755e-09,1.5597373332316155e-09,1.7541955831848095e-19
27,1267,2109,563,1.1841050749376845e-10,2.2654575023630525e-09,2.985637871113226e-09,3.905715068997871e-19
28,977,2016,1247,1.018097011237768e-08,2.208926812821133e-09,1.704138295767427e-08,1.6557179022520042e-19
29,1282,977,1247,1.660938798828126e-08,3.6168726404455558e-09,1.5021683863539537e-08,1.079165613933965e-19
30,1742,1267,1828,2.2753989673439603e-08,3.662506184552371e-10,2.412276166480894e-08,1.2490332570522548e-19
31,1267,1742,2109,1.9486294319826026e-08,1.7979887517986427e-09,1.4166793966734201e-08,1.0718174282253135e-19
32,1600,977,1282,3.714804010506819e-08,1.3559478327110526e-08,6.186294561902184e-09,1.7218752288541586e-19
33,691,585,1864,5.140751056261175e-09,9.095825336325988e-10,5.9027056407966334e-09,9.212235813689064e-19
34,585,691,439,2.438227346422328e-09,6.649873172072947e-09,6.7672244547305135e-09,4.680911717715276e-19
35,1509,1102,1864,5.298617074914582e-10,9.284302475175642e-10,2.307835810374635e-09,1.6110399637004092e-17
36,585,1509,1864,3.636060281510477e-09,9.091593259793875e-10,5.828246369940997e-09,1.171177313073676e-18
37,1996,2017,308,1.718860961204043e-11,9.25075652868871e-10,7.919157781573627e-10,8.270211363097023e-19
38,1436,408,1962,1.080071822457644e-08,5.4659050594195294e-09,4.835210889830605e-09,1.8461590521574853e-18
39,1372,278,544,1.9278842358278833e-08,3.9593609457915765e-09,1.1838860904363606e-08,6.77559982592295e-19
40,1106,1644,691,1.0398173149414999e-09,5.448669975527083e-09,7.457278782534098e-09,6.035048637811474e-19
41,594,1928,193,5.6043921117469626e-08,7.71951002792601e-09,7.95745392874431e-08,6.683974844492257e-19
42,1242,1341,372,5.266062591002436e-08,3.066904971199704e-08,4.4331201616501285e-09,4.914893071508718e-19
43,2152,2161,372,8.436685499228617e-08,6.39667159340063e-08,1.4583096798173802e-08,8.695137609840691e-19
44,2161,1242,372,1.2989296028564002e-07,5.580993152384884e-08,1.7139301535244175e-08,8.436810821911184e-19
45,1242,2161,1547,5.4618945921810584e-08,3.2488912043316615e-08,4.741508297631517e-08,4.725746572221919e-19
46,1710,1928,594,3.025873633023173e-08,9.720784709451082e-09,6.82211710967504e-09,8.331630830268339e-19
47,1604,1710,594,1.244406822974314e-10,4.70719195944747e-10,8.936227813529169e-10,6.336729106251468e-19
48,960,970,1301,2.1527837234799324e-09,6.297234127553003e-10,1.262369225342125e-09,6.857137559797473e-19
49,1694,960,1301,8.40123039979546e-09,2.274653606136119e-09,2.9089872932474768e-09,6.798369742502737e-19
50,970,1308,1301,3.54446807138519e-08,9.139899866466479e-09,8.834148888666849e-09,7.177100481566686e-19
51,221,2018,1029,3.575959856065085e-10,1.773286882426025e-09,1.2414990612220351e-09,9.335946941639113e-20
52,2000,1432,1750,6.959554391153153e-12,3.1858660386986416e-11,1.3889691237912916e-11,3.901459058297742e-18
53,1750,1432,535,1.054917987662621e-09,6.355628553611576e-11,6.702373112803992e-10,3.822691560072791e-18
54,1432,1842,535,1.3203203062531944e-11,3.243578982257452e-11,6.363015450725471e-11,2.6469309177036715e-18
55,1395,1432,1160,7.969965863074394e-11,6.180299626121388e-10,1.072267428307233e-09,1.2452030503335279e-17
56,1432,2000,1160,1.386442339627459e-10,6.205662897681324e-11,2.2955341226543572e-10,3.0044616484261827e-18
57,2016,868,3,4.687221283760105e-09,1.7498828165848685e-09,3.550999690093705e-09,3.0513090891277586e-19
58,675,868,2016,8.220599899500521e-09,3.807659010014827e-13,8.225187542649129e-09,3.3728277067178824e-19
59,3,868,1338,7.466304354369942e-10,1.6083478363453509e-09,1.4100375825045019e-09,1.2030470714157157e-18
60,16,546,1237,8.829318405975483e-09,4.849679616230407e-09,2.6928779834883654e-09,6.770219384885593e-20
61,1635,518,318,4.502772086292202e-08,9.395118140651093e-09,1.7253237047482495e-08,3.528966391516178e-19
62,743,1188,1601,3.502502999638469e-08,1.0379240924022326e-08,1.1726587337586757e-08,1.0876162595878997e-19
63,720,743,1601,6.163569958397168e-08,9.321585357651503e-09,2.3861073031153942e-08,6.302779070030832e-20
64,320,720,546,1.1665053127173984e-08,7.107449171612124e-09,2.466271098400975e-09,6.464563196120316e-20
65,223,1267,1188,2.595729196922916e-09,1.574493079664382e-09,2.0155731620021583e-09,8.033591328126468e-20
66,1177,945,1576,1.57747687357468e-09,9.189040659290522e-10,2.7867118989389324e-09,4.811673532078086e-19
67,977,1177,2016,9.040182737587898e-09,4.994056204072652e-09,4.699543923997367e-09,2.7232313883080475e-19
68,675,1177,1576,8.568406224450016e-09,8.055041859117445e-10,7.51371090768826e-09,4.0232662673375605e-19
69,1177,675,2016,1.0950187147691567e-08,7.320846564078414e-10,1.00890889675729e-08,3.4234673338517956e-19
70,1015,1600,1282,1.5824714723029315e-08,3.199780289657412e-09,9.442987468064689e-09,1.7650482781340657e-19
71,2159,585,439,2.445700056033738e-09,5.825472974653081e-09,1.0346277019441828e-09,4.224552689941603e-19
72,1509,2159,1494,4.765992899512863e-09,3.5815421232310195e-09,3.835904647065475e-09,8.961195058155975e-19
73,2159,1509,585,3.6745448428737678e-09,8.987714844603567e-10,4.56583467585751e-09,1.2443106457181167e-18
74,557,689,308,3.863979087686893e-10,1.153827278838726e-09,1.4495659735465036e-09,6.836593893540853e-19
75,2017,557,308,1.7548209715022482e-09,1.2036342044548982e-09,3.892592624435564e-09,8.944386166097629e-19
76,2030,1067,1717,3.986730339143307e-09,1.3727843668618287e-09,2.7265234767251676e-09,7.574986806364388e-19
77,1067,2030,2185,1.3429067893913144e-09,1.38188992901123e-09,1.5580450806100128e-09,9.762539411755782e-19
78,2035,2030,1717,2.753132640395665e-09,6.444095821543818e-09,5.699855947063747e-09,3.1059074159107955e-18
79,2030,2035,1213,2.176656223941221e-08,6.449417938951756e-09,9.99212168925048e-09,1.7466713329312775e-18
80,1325,1902,1213,9.279581244923705e-08,9.196863003272312e-09,8.638795308585204e-08,2.4395541158887944e-18
81,1372,832,278,1.961364698070279e-08,5.068518747287315e-09,1.0173592098999636e-08,2.620481547269278e-19
82,1436,1264,408,3.836719614406485e-09,2.297671308398114e-09,7.822029382038723e-09,6.363097029750069e-19
83,1264,764,408,7.032075762148702e-09,7.668179547149825e-09,4.240833676030657e-09,3.01961838149402e-19
