face_id,i,j,k,x_centroid,y_centroid,curl_total_abs,curl_coexact_abs
0,563,3,1338,17370.0,12339.0,3.4321974652981016e-05,3.43219525510463e-05
1,1601,563,1237,16561.0,14031.666666666666,5.746860020591077e-05,5.7468520227860315e-05
2,1106,691,1864,6450.333333333333,10036.666666666666,3.9513386384886494e-05,3.951323040715825e-05
3,872,1546,530,11360.666666666666,3693.3333333333335,2.8463224412266505e-05,2.846332877269856e-05
4,1395,1160,1338,16709.666666666668,8561.666666666666,1.6115303545965663e-05,1.611529142969473e-05
5,618,945,363,16499.666666666668,11912.666666666666,2.766884419929073e-05,2.7668980438282468e-05
6,2016,3,1247,17102.0,12261.333333333334,0.00010747741653515331,0.00010747747748091004
7,2109,3,563,17234.666666666668,12724.0,6.937807701488892e-05,6.937806667613401e-05
8,3,2109,1247,17101.333333333332,12492.666666666666,5.536913842183465e-05,5.5369106521921564e-05
9,1601,1188,563,16830.333333333332,13647.0,0.0001413362707215515,0.00014133619933177137
10,2109,1282,1247,16967.0,12569.333333333334,8.706941425118346e-05,8.706940397481229e-05
11,544,253,1939,13270.666666666666,16218.666666666666,3.988913266693446e-05,3.98891969170166e-05
12,1891,253,544,13069.666666666666,16179.666666666666,0.0003314755470721337,0.0003314753166436512
13,278,1891,544,12935.333333333334,16179.333333333334,0.0003715434961804999,0.0003715432975377489
14,2152,372,1546,10958.0,3846.3333333333335,5.332735835980713e-05,5.33275500176245e-05
15,872,2152,1546,11092.333333333334,3769.6666666666665,0.00016596921675741944,0.00016596902346297372
16,355,834,1546,9750.333333333334,4305.333333333333,1.7984310866898422e-05,1.7984398859912135e-05
17,1660,1842,1807,16110.666666666666,6904.0,0.00035588547606790175,0.00035588535500912465
18,1842,1660,1262,16111.333333333334,6750.0,0.0003460266133915965,0.0003460266093630849
19,1842,1262,535,16111.666666666666,6596.0,5.973553051384388e-05,5.973551943671044e-05
20,571,2000,1750,15980.0,5670.666666666667,1.620295994435502e-05,1.6202964141277142e-05
21,1816,1395,1338,17040.0,10373.333333333334,1.6145809258478834e-05,1.614584297382914e-05
22,546,1601,1237,16090.666666666666,14454.0,0.0001993686199394127,0.00019936873101530412
23,546,720,1601,16225.666666666666,14146.0,0.00035335778610810005,0.00035335747998309396
24,1556,1635,318,15555.0,14221.333333333334,0.0004512237985066463,0.00045122345660844534
25,1635,1556,1443,15689.0,14221.666666666666,0.00016360733474359492,0.00016360701761757376
26,1188,1267,563,16965.0,13339.333333333334,2.8617117759574804e-05,2.8617070187442623e-05
