face_id,i,j,k,curl,mapped_node_mean_curl
0,0,925,3250,0.0004517296627014998,0.0022598944531514
1,0,925,3665,0.0012337422226117003,0.0022699035709316706
2,0,1248,1535,0.0085113906345885,0.005271439290446264
3,0,1248,3250,0.0010042744882733001,0.002655140391982428
4,0,1248,3665,0.0001229478980739,0.002665149509762698
5,0,1248,4690,0.0005203288823950999,0.0044009123803752615
6,0,1535,3665,0.007545429508456301,0.004932434258011515
7,0,1535,4690,0.0165036452328607,0.006668197128624078
8,0,3250,3665,0.00031010523395720016,0.002316135359547678
9,1,516,2811,0.0008417054314378,0.0017196546304063254
10,1,516,3116,0.0008183448930024542,0.001369111409908181
11,1,629,1380,6.49801625942e-05,0.0015481997749960082
12,1,629,3116,0.00033043608554734604,0.0012502630055761083
13,1,1380,4773,0.0002688490158807002,0.0018704665019672443
14,1,2811,4773,0.0072772233841820995,0.0019230729530454892
15,2,900,2905,0.0015246998646521,0.0013158064246317222
16,2,900,3124,0.0015580125259198,0.0012668266997486112
17,2,1974,2905,6.116985217400001e-05,0.0010558088880817111
18,2,1974,3870,0.0006223220635686,0.0013172309525553167
19,2,2138,3124,0.0017014086604756002,0.0014467062242444612
20,2,2138,3870,0.0001242718752027,0.0017571080136011778
21,3,762,2261,6.456878178581727e-06,0.0005475381144750075
22,3,762,4074,0.00031436427181227606,0.0002994195754477355
23,3,2261,2442,0.0004034415270595,0.0010682375743751545
24,3,2442,3040,0.00034632563838419997,0.0008362886297846806
25,3,3040,4463,1.2385304292913957e-06,0.00042196689847851383
26,3,4074,4463,1.4238136498908715e-05,0.0004057973040417159
27,4,1386,3999,0.0035080404147555984,0.0046023872560833
28,4,1386,4835,0.007927085297281398,0.004801498709003199
29,4,2761,2977,0.005219656769902799,0.005789273472893254
30,4,2761,3999,0.004236053843220601,0.004306058605004223
31,4,2977,3995,0.016914144614597497,0.006967849460687834
32,4,3995,4835,0.0019238861379274018,0.005683746045718702
33,5,580,2389,0.0012115683355485999,0.0021806191049678274
34,5,580,2534,0.0009222755952123,0.0015516079563704915
35,5,1580,1706,0.0005414652043076,0.0011927339405902913
36,5,1580,3836,0.0018974197698198,0.0020486432004821666
37,5,1706,2534,6.252345213669997e-05,0.000644500366440259
38,5,2389,3836,0.0016547745999284003,0.00212942077492947
39,6,347,1850,0.007500424203670301,0.004396432212315345
40,6,347,4719,0.0024808376406588997,0.0032881866144637336
41,6,1727,1869,0.0005749646986246998,0.0038416045844005217
42,6,1727,4719,0.0001965861071182999,0.0028247492679760663
43,6,1850,2653,0.0081335785638109,0.0051956209665654654
44,6,1869,2653,0.0153541751280465,0.005104230685138311
45,7,999,1946,0.0005501915025216001,0.0012273434695073977
46,7,999,4730,0.00041137758652869984,0.0010616490179448906
47,7,1946,4466,0.0022312644120319,0.0012926279814421532
48,7,2779,4466,0.004217105614721,0.001649547623715363
49,7,2779,4896,0.00012578328288060043,0.002026936971497917
50,7,4730,4896,0.0008175806148788,0.0015043228776622003
51,8,1004,1708,0.0006812937861731001,0.0010881496034231802
52,8,1004,3050,0.0017637533872444,0.0012815678857788818
53,8,1004,4011,0.0015401845514773,0.0010108055511934039
54,8,1155,2145,0.00038665711682999993,0.0007993334801804511
55,8,1155,3200,0.0010319027743957002,0.0007876865886785609
56,8,1708,3050,0.0006479319795898001,0.0012108003155468557
